Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-04-22,2791.505859375,2817.641499208782,2779.3777844403016,2817.641499208782,1988980
2021-04-23,2783.181884765625,2791.6849328136304,2766.6681141026975,2779.1541251639383,1615309
2021-04-26,2775.395263671875,2822.117237022294,2763.983276747665,2776.5140859193466,2490260
2021-04-27,2803.320556640625,2806.990380409463,2777.3638848198784,2780.0490577668525,1471417
2021-04-28,2796.249755859375,2820.3267197882137,2785.4194706381854,2819.3868655301867,1639037
2021-04-29,2788.32861328125,2826.010631391147,2779.6018003514714,2815.4937029885937,1621395
2021-04-30,2717.081787109375,2803.3654794696645,2703.0742216798394,2773.783779134378,3072305
2021-05-03,2718.289794921875,2734.400830914168,2688.7528956026713,2707.4595110968694,1545831
2021-05-04,2729.70166015625,2765.7277251849537,2716.499561791694,2741.3822044471763,1990777
2021-05-05,2770.830322265625,2774.1419923433573,2732.074276737655,2747.8273810533087,1939289
2021-05-06,2784.92724609375,2805.1108409989283,2751.407378822816,2779.601696465275,1791671
2021-05-07,2804.12646484375,2828.2484471170915,2785.2408765735254,2804.2160580308,1912540
2021-05-10,2815.404541015625,2832.1420795456097,2797.0558546093876,2815.807273354691,2137153
2021-05-11,2794.906982421875,2799.829799280447,2766.757245751011,2797.0550332794637,2415625
2021-05-12,2763.579833984375,2792.5796117756176,2748.3638553304695,2792.5796117756176,1978558
2021-05-14,2731.268310546875,2773.3360184268367,2720.9751479805013,2773.3360184268367,2043935
2021-05-17,2747.60302734375,2752.481047488296,2717.3948337863426,2734.4009279371794,2890462
2021-05-18,2764.654052734375,2796.160037623328,2754.987386621192,2774.678654491779,2098538
2021-05-19,2758.5673828125,2790.789454772672,2745.231112659171,2760.3574979213986,1986041
2021-05-20,2738.876708984375,2764.654415831749,2731.8058401828885,2745.2317064034,2329027
2021-05-21,2757.224853515625,2764.1167531234646,2734.490478570305,2739.7712308428268,1685566
2021-05-24,2758.11962890625,2779.1534797189374,2749.616582833036,2758.11962890625,1652260
2021-05-25,2800.8427734375,2813.6597321791455,2772.150862405755,2781.0551880118014,1841613
2021-05-26,2840.86767578125,2846.7140078669167,2791.6685866088606,2806.2394011199935,1923753
2021-05-27,2860.20556640625,2894.1592645609153,2843.8358803527535,2843.9707078741408,5959785
2021-05-28,2827.466796875,2876.396022238262,2820.316105764027,2868.7508170509495,1763701
2021-05-31,2841.45263671875,2851.526493764551,2813.975047568536,2833.2228866454534,1652799
2021-06-01,2835.921142578125,2851.166535820747,2817.0329903440174,2849.952429216134,1377441
2021-06-02,2814.7392578125,2841.722331212589,2801.74245470922,2833.9873152578516,2240078
2021-06-03,2825.3525390625,2837.315078410275,2808.622946339891,2837.315078410275,1281706
2021-06-04,2827.601806640625,2839.3845055829647,2810.737382346546,2813.4356902335985,1836060
2021-06-07,2863.084228515625,2869.6051385982905,2818.472340944757,2828.7258220667936,2559821
2021-06-08,2878.329345703125,2906.0770275653895,2866.6816961801665,2876.395646596755,2574057
2021-06-09,2878.41943359375,2896.1832907341222,2865.782316621696,2879.9934462517576,1710925
2021-06-10,2893.30517578125,2899.781069736346,2871.8985594504197,2887.188968316895,1874324
2021-06-11,2944.573486328125,2976.2335881653917,2888.0888641882966,2888.5835978834903,3452954
2021-06-14,2946.866455078125,2975.9630703086164,2941.4698404907167,2949.2498720187064,1847360
